'bout	bˈaʊt
'cause	kəz
'course	kˈɔɹs
'cuse	kjˈuz
'em	əm
'frisco	fɹˈɪskoʊ
'gain	ɡˈɛn
'kay	kˈeɪ
'm	əm
'n	ən
'round	ɹˈaʊnd
's	ˈɛs
'til	tˈɪl
'tis	tˈɪz
'twas	twˈʌz
a	ə
a's	ˈeɪz
a.	ˈeɪ
a.'s	ˈeɪz
a.d.	ˌeɪdˈi
a.m.	ˌeɪˈɛm
a.s	ˈeɪz
aaa	tɹˌɪpəlˈeɪ
aaberg	ˈɑbɚɡ
aachen	ˈɑkən
aachener	ˈɑkənɚ
aaker	ˈɑkɚ
aalborg	ˈɑlbɔɹɡ
aalborg	ˈɔlbɔɹɡ#place,danish
aalburg	ˈælbɚɡ#place,dutch
aalen	ˈælən#place,german
aalen	ˈɑlən
aaliyah	ˌɑlˈiˌɑ
aalseth	ˈɑlsɛθ
aalsmeer	ˈɑlsmɪɹ#place,dutch
aalto	ˈɑltˌoʊ#name,finnish
aamodt	ˈɑmət
aancor	ˈɑnkˌɔɹ
aardema	ɑɹdˈɛmə
aardvark	ˈɑɹdvˌɑɹk
aardvarks	ˈɑɹdvˌɑɹks
aargh	ˈɑɹɡ
aarhus	ˌɑhˈus
aaron	ˈɛɹən
aaron's	ˈɛɹənz
aarons	ˈɛɹənz
aaronson	ˈɑɹənsən
aaronson	ˈɛɹənsən
aaronson's	ˈɑɹənsənz
aaronson's	ˈɛɹənsənz
aarti	ˈɑɹtˌi
aase	ˈɑs
aasen	ˈɑsən
ab	ˈæb
aba	ˌeɪbˌiˈeɪ
ababa	əbˈɑbə
ababa	ˈɑbəbə
abacha	ˈæbəkə
aback	əbˈæk
abaco	ˈæbəkˌoʊ
abacus	ˈæbəkəs
abad	əbˈɑd
abadaka	əbˈædəkə
abadi	əbˈædi
abadie	əbˈædi
abair	əbˈɛɹ
abalkin	əbˈɑlkɪn
abalone	ˌæbəlˈoʊni
abalones	ˌæbəlˈoʊniz
abalos	ɑbˈɑloʊz
abandon	əbˈændən
abandoned	əbˈændənd
abandoning	əbˈændənɪŋ
abandonment	əbˈændənmənt
abandonments	əbˈændənmənts
abandons	əbˈændənz
abanto	əbˈæntoʊ
abarca	əbˈɑɹkə
abare	ɑbˈɑɹi
abascal	ˈæbəskəl
abash	əbˈæʃ
abashed	əbˈæʃt
abasia	əbˈeɪʒjə
abate	əbˈeɪt
abated	əbˈeɪtɪd
abatement	əbˈeɪtmənt
abatements	əbˈeɪtmənts
abates	əbˈeɪts
abating	əbˈeɪtɪŋ
